temp-global, temp-city,mov--avg-city,moving-avg-global
8.72,25.25,,
7.98,26.77,,
5.78,24.46,,
8.39,25.51,,
8.47,25.44,25.486,7.868
8.36,24.38,25.312,7.796
8.85,25.87,25.132,7.97
9.02,25.62,25.364,8.618
6.74,25.93,25.448,8.288
7.99,25.54,25.468,8.192
7.19,25.45,25.682,7.958
8.77,25.09,25.526,7.942
8.61,24.79,25.36,7.86
7.5,23.95,24.964,8.012
8.4,24.32,24.72,8.094
8.25,23.91,24.412,8.306
8.41,24.09,24.212,8.234
8.22,24.62,24.178,8.156
6.78,24.17,24.222,8.012
7.69,24.37,24.232,7.87
7.69,25.04,24.458,7.758
7.85,25.13,24.666,7.646
8.19,24.88,24.718,7.64
8.22,25.54,24.992,7.928
8.77,25.34,25.186,8.144
9.18,25.35,25.248,8.442
8.3,25.57,25.336,8.532
8.26,25.13,25.386,8.546
8.54,24.94,25.266,8.61
8.98,25.28,25.254,8.652
9.43,24.68,25.12,8.702
8.1,24.84,24.974,8.662
7.9,25.07,24.962,8.59
7.68,25.07,24.988,8.418
7.86,24.17,24.766,8.194
7.36,24.76,24.782,7.78
8.26,24.64,24.742,7.812
8.03,24.63,24.654,7.838
8.45,24.74,24.588,7.992
8.33,24.92,24.738,8.086
7.98,24.69,24.724,8.21
8.23,25,24.796,8.204
8.09,24.93,24.856,8.216
8.23,24.6,24.828,8.172
8.53,24.84,24.812,8.212
8.35,25.42,24.958,8.286
8.27,24.89,24.936,8.294
8.51,24.74,24.898,8.378
8.67,24.75,24.928,8.466
8.51,24.99,24.958,8.462
8.48,24.99,24.872,8.488
8.59,24.92,24.878,8.552
8.58,25.12,24.954,8.566
8.5,25.25,25.054,8.532
8.84,25.41,25.138,8.598
8.56,24.06,24.952,8.614
8.43,24.52,24.872,8.582
8.28,24.25,24.698,8.522
7.63,25.11,24.67,8.348
7.08,25.1,24.608,7.996
6.92,25.14,24.824,7.668
6.86,25.26,24.972,7.354
7.05,24.46,25.014,7.108
7.74,25.56,25.104,7.13
7.59,25.16,25.116,7.232
7.24,25.38,25.164,7.296
6.94,25.72,25.256,7.312
6.98,25.04,25.372,7.298
7.83,25.5,25.36,7.316
7.37,25.27,25.382,7.272
7.62,25.07,25.32,7.348
8.09,24.8,25.136,7.578
8.19,24.7,25.068,7.82
7.72,24.53,24.874,7.798
8.55,25.24,24.868,8.034
8.39,25.05,24.864,8.188
8.36,24.99,24.902,8.242
8.81,25.31,25.024,8.366
8.17,25.41,25.2,8.456
7.94,25.06,25.164,8.334
8.52,25.65,25.284,8.36
7.64,24.05,25.096,8.216
7.45,24.85,25.004,7.944
8.01,25.47,25.016,7.912
8.15,25.93,25.19,7.954
7.39,25.46,25.152,7.728
7.7,25.84,25.51,7.74
7.38,26.31,25.802,7.726
7.51,25.82,25.872,7.626
7.63,25.89,25.864,7.522
7.8,26.1,25.992,7.604
7.69,25.24,25.872,7.602
8.02,25.38,25.686,7.73
8.17,25.44,25.61,7.862
7.65,25.45,25.522,7.866
7.85,25.33,25.368,7.876
8.55,25.08,25.336,8.048
8.09,24.75,25.21,8.062
7.98,24.87,25.096,8.024
7.98,25.77,25.16,8.09
7.9,25.6,25.214,8.1
8.18,25.34,25.266,8.026
8.1,25.54,25.424,8.028
8.04,26.32,25.714,8.04
8.21,25.2,25.6,8.086
8.11,24,25.28,8.128
8,25.51,25.314,8.092
7.76,25.1,25.226,8.024
8.1,25.12,24.986,8.036
8.25,26.35,25.216,8.044
7.96,25.45,25.506,8.014
7.85,25.45,25.494,7.984
7.56,25.12,25.498,7.944
8.11,25.27,25.528,7.946
7.98,25.05,25.268,7.892
8.18,24.8,25.138,7.936
8.29,25.75,25.198,8.024
8.44,25.5,25.274,8.2
8.25,25.36,25.292,8.228
8.43,25.7,25.422,8.318
8.2,25.84,25.63,8.322
8.12,24.74,25.428,8.288
8.19,25.11,25.35,8.238
8.35,24.86,25.25,8.258
8.43,25.16,25.142,8.258
7.86,25.15,25.004,8.19
8.08,25.69,25.194,8.182
8.54,25.68,25.308,8.252
8.83,25.39,25.414,8.348
8.17,26.5,25.682,8.296
8.12,25.5,25.752,8.348
8.27,25.41,25.696,8.386
8.13,25.19,25.598,8.304
7.98,24.8,25.48,8.134
7.77,25.76,25.332,8.054
7.92,25.88,25.408,8.014
7.95,25.78,25.482,7.95
7.91,26.01,25.646,7.906
8.09,24.79,25.644,7.928
8.32,25.87,25.666,8.038
7.97,26.05,25.7,8.048
8.02,26.3,25.804,8.062
8.07,25.89,25.78,8.094
8.06,25.39,25.9,8.088
8.16,25.27,25.78,8.056
8.15,25.16,25.602,8.092
8.21,26.18,25.578,8.13
8.29,25.58,25.516,8.174
8.18,25.69,25.576,8.198
8.4,25.01,25.524,8.246
8.5,25.36,25.564,8.316
8.54,25.99,25.526,8.382
8.3,25.43,25.496,8.384
8.22,25.72,25.502,8.392
8.09,25.78,25.656,8.33
8.23,25.11,25.606,8.276
8.38,25.35,25.478,8.244
7.95,26.16,25.624,8.174
8.19,25.6,25.6,8.168
8.18,25.09,25.462,8.186
8.22,25.57,25.554,8.184
8.18,25.65,25.614,8.144
8.17,25.75,25.532,8.188
8.3,25.08,25.428,8.21
